KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,KOD_RUIAN
"CS","CISORP",65,"6107","N·mÏöù nad Oslavou","N·mÏöù nad Oslavou","01.01.2003","09.09.9999","1589"
"CS","CISORP",65,"6108","NovÈ MÏsto na MoravÏ","NovÈ MÏsto na MoravÏ","01.01.2003","09.09.9999","1686"
"CS","CISORP",65,"6109","Pacov","Pacov","01.01.2003","09.09.9999","370"
"CS","CISORP",65,"6110","Pelh¯imov","Pelh¯imov","01.01.2003","09.09.9999","388"
"CS","CISORP",65,"6111","SvÏtl· nad S·zavou","SvÏtl· nad S·zavou","01.01.2003","09.09.9999","957"
"CS","CISORP",65,"6112","TelË","TelË","01.01.2003","09.09.9999","1511"
"CS","CISORP",65,"6113","T¯ebÌË","T¯ebÌË","01.01.2003","09.09.9999","1597"
"CS","CISORP",65,"6114","VelkÈ Mezi¯ÌËÌ","VelkÈ Mezi¯ÌËÌ","01.01.2003","09.09.9999","1694"
"CS","CISORP",65,"6115","éÔ·r nad S·zavou","éÔ·r nad S·zavou","01.01.2003","09.09.9999","1708"
"CS","CISORP",65,"6201","Blansko","Blansko","01.01.2003","09.09.9999","1295"
"CS","CISORP",65,"6202","Boskovice","Boskovice","01.01.2003","09.09.9999","1309"
"CS","CISORP",65,"6203","Brno","Brno","01.01.2003","09.09.9999","1317"
"CS","CISORP",65,"6204","B¯eclav","B¯eclav","01.01.2003","09.09.9999","1384"
"CS","CISORP",65,"6205","BuËovice","BuËovice","01.01.2003","09.09.9999","1627"
"CS","CISORP",65,"6206","HodonÌn","HodonÌn","01.01.2003","09.09.9999","1473"
"CS","CISORP",65,"6207","HustopeËe","HustopeËe","01.01.2003","09.09.9999","1392"
"CS","CISORP",65,"6208","IvanËice","IvanËice","01.01.2003","09.09.9999","1325"
"CS","CISORP",65,"6209","Ku¯im","Ku¯im","01.01.2003","09.09.9999","1333"
"CS","CISORP",65,"6210","Kyjov","Kyjov","01.01.2003","09.09.9999","1481"
"CS","CISORP",65,"6211","Mikulov","Mikulov","01.01.2003","09.09.9999","1406"
"CS","CISORP",65,"6212","Moravsk˝ Krumlov","Moravsk˝ Krumlov","01.01.2003","09.09.9999","1651"
"CS","CISORP",65,"6213","Poho¯elice","Poho¯elice","01.01.2003","09.09.9999","1414"
"CS","CISORP",65,"6214","Rosice","Rosice","01.01.2003","09.09.9999","1341"
"CS","CISORP",65,"6215","Slavkov u Brna","Slavkov u Brna","01.01.2003","09.09.9999","1635"
"CS","CISORP",65,"6216","älapanice","älapanice","01.01.2003","09.09.9999","1368"
"CS","CISORP",65,"6217","Tiönov","Tiönov","01.01.2003","09.09.9999","1350"
"CS","CISORP",65,"6218","VeselÌ nad Moravou","VeselÌ nad Moravou","01.01.2003","09.09.9999","1490"
"CS","CISORP",65,"6219","Vyökov","Vyökov","01.01.2003","09.09.9999","1643"
"CS","CISORP",65,"6220","Znojmo","Znojmo","01.01.2003","09.09.9999","1660"
"CS","CISORP",65,"6221","éidlochovice","éidlochovice","01.01.2003","09.09.9999","1376"
"CS","CISORP",65,"7101","Hranice","Hranice","01.01.2003","09.09.9999","1970"
"CS","CISORP",65,"7102","JesenÌk","JesenÌk","01.01.2003","09.09.9999","2062"
"CS","CISORP",65,"7103","Konice","Konice","01.01.2003","09.09.9999","1554"
"CS","CISORP",65,"7104","LipnÌk nad BeËvou","LipnÌk nad BeËvou","01.01.2003","09.09.9999","1988"
"CS","CISORP",65,"7105","Litovel","Litovel","01.01.2003","09.09.9999","1881"
"CS","CISORP",65,"7106","Mohelnice","Mohelnice","01.01.2003","09.09.9999","2003"
"CS","CISORP",65,"7107","Olomouc","Olomouc","01.01.2003","09.09.9999","1899"
"CS","CISORP",65,"7108","ProstÏjov","ProstÏjov","01.01.2003","09.09.9999","1562"
"CS","CISORP",65,"7109","P¯erov","P¯erov","01.01.2003","09.09.9999","1996"
"CS","CISORP",65,"7110","äternberk","äternberk","01.01.2003","09.09.9999","1911"
"CS","CISORP",65,"7111","äumperk","äumperk","01.01.2003","09.09.9999","2020"
"CS","CISORP",65,"7112","UniËov","UniËov","01.01.2003","09.09.9999","1902"
"CS","CISORP",65,"7113","Z·b¯eh","Z·b¯eh","01.01.2003","09.09.9999","2011"
"CS","CISORP",65,"7201","Byst¯ice pod Host˝nem","Byst¯ice pod Host˝nem","01.01.2003","09.09.9999","1520"
"CS","CISORP",65,"7202","Holeöov","Holeöov","01.01.2003","09.09.9999","1538"
"CS","CISORP",65,"7203","KromÏ¯Ìû","KromÏ¯Ìû","01.01.2003","09.09.9999","1546"
"CS","CISORP",65,"7204","LuhaËovice","LuhaËovice","01.01.2003","09.09.9999","1422"
"CS","CISORP",65,"7205","Otrokovice","Otrokovice","01.01.2003","09.09.9999","1431"
"CS","CISORP",65,"7206","Roûnov pod RadhoötÏm","Roûnov pod RadhoötÏm","01.01.2003","09.09.9999","2038"
"CS","CISORP",65,"7207","UherskÈ HradiötÏ","UherskÈ HradiötÏ","01.01.2003","09.09.9999","1601"
"CS","CISORP",65,"7208","Uhersk˝ Brod","Uhersk˝ Brod","01.01.2003","09.09.9999","1619"
"CS","CISORP",65,"7209","ValaöskÈ Klobouky","ValaöskÈ Klobouky","01.01.2003","09.09.9999","1449"
"CS","CISORP",65,"7210","ValaöskÈ Mezi¯ÌËÌ","ValaöskÈ Mezi¯ÌËÌ","01.01.2003","09.09.9999","2046"
"CS","CISORP",65,"7211","Vizovice","Vizovice","01.01.2003","09.09.9999","1457"
"CS","CISORP",65,"7212","VsetÌn","VsetÌn","01.01.2003","09.09.9999","2054"
"CS","CISORP",65,"7213","ZlÌn","ZlÌn","01.01.2003","09.09.9999","1465"
"CS","CISORP",65,"8101","BÌlovec","BÌlovec","01.01.2003","09.09.9999","1830"
"CS","CISORP",65,"8102","BohumÌn","BohumÌn","01.01.2003","09.09.9999","1783"
"CS","CISORP",65,"8103","Brunt·l","Brunt·l","01.01.2003","09.09.9999","1716"
"CS","CISORP",65,"8104","»esk˝ TÏöÌn","»esk˝ TÏöÌn","01.01.2003","09.09.9999","1821"
"CS","CISORP",65,"8105","Frenöt·t pod RadhoötÏm","Frenöt·t pod RadhoötÏm","01.01.2003","09.09.9999","1848"
"CS","CISORP",65,"8106","Fr˝dek-MÌstek","Fr˝dek-MÌstek","01.01.2003","09.09.9999","1741"
"CS","CISORP",65,"8107","Fr˝dlant nad OstravicÌ","Fr˝dlant nad OstravicÌ","01.01.2003","09.09.9999","1759"
"CS","CISORP",65,"8108","HavÌ¯ov","HavÌ¯ov","01.01.2003","09.09.9999","1791"
"CS","CISORP",65,"8109","HluËÌn","HluËÌn","01.01.2003","09.09.9999","1929"
"CS","CISORP",65,"8110","Jablunkov","Jablunkov","01.01.2003","09.09.9999","1767"
"CS","CISORP",65,"8111","Karvin·","Karvin·","01.01.2003","09.09.9999","1805"
"CS","CISORP",65,"8112","Kop¯ivnice","Kop¯ivnice","01.01.2003","09.09.9999","1856"
"CS","CISORP",65,"8113","Krava¯e","Krava¯e","01.01.2003","09.09.9999","1937"
"CS","CISORP",65,"8114","Krnov","Krnov","01.01.2003","09.09.9999","1724"
"CS","CISORP",65,"8115","Nov˝ JiËÌn","Nov˝ JiËÌn","01.01.2003","09.09.9999","1864"
"CS","CISORP",65,"8116","Odry","Odry","01.01.2003","09.09.9999","1872"
"CS","CISORP",65,"8117","Opava","Opava","01.01.2003","09.09.9999","1945"
"CS","CISORP",65,"8118","Orlov·","Orlov·","01.01.2003","09.09.9999","1813"
"CS","CISORP",65,"8119","Ostrava","Ostrava","01.01.2003","09.09.9999","1961"
"CS","CISORP",65,"8120","R˝ma¯ov","R˝ma¯ov","01.01.2003","09.09.9999","1732"
"CS","CISORP",65,"8121","T¯inec","T¯inec","01.01.2003","09.09.9999","1775"
"CS","CISORP",65,"8122","VÌtkov","VÌtkov","01.01.2003","09.09.9999","1953"

